"Grupos YTD",47,47,51,145
"  vs año anterior",39,39,47,125
"Grupos<10 y >1 año",6,6,10,22
"Grupos >1 año",39,37,41,117
"% Grupos<10 y >1 año",0.15,0.16,0.24,0.19
"Chairs YTD",30,28,29,87
"  vs año anterior",25,23,25,73
"Prom.Miem/Gpo YTD",11.1,11.9,11.5,11.5
"  vs año anterior",11.3,12.3,11.2,11.6
"Capacity YTD",1.57,1.68,1.76,1.67
"vs Capacity YTD año ant",1.56,1.7,1.88,1.71
"% Asist. Reun. 12mm",0.67,0.63,0.65,0.65
"  vs año anterior",0.62,0.6,0.56,0.59
"Miembros YTD",521,558,589,1668
"Miembros YTD año ant",441,481,528,1450
"  vs Plan YTD",494,540,571,1605
"  % desv. vs Plan",0.055,0.033,0.032,0.039
"  vs Dic año anterior",497,541,565,1603
"  %crec.vs.Dic año ant.",0.048,0.031,0.042,0.041
"Altas 12mm",213,220,233,666
"Bajas 12mm",111,109,122,342
"Altas 2020",55,42,57,154
"Bajas y Lic 2020",36,31,36,103
"% Retención 12mm",0.77,0.79,0.77,0.77
